Stage,Diversification,Plots,X_coord,Y_coord,Abundance,Richness,Arctosa_sp1,Arctosa_sp2,Corinnidae_sp1,Gnaphosidae_sp1,Gnaphosidae_sp2,Haplodrassus_sp1,Lycosidae_sp1,Lycosidae_sp2,Pardosa_sp1,Pardosa_sp2,Scotinella_sp,Trachelas_sp1,Erigone_sp1,Erigone_sp2,%forest_25m,%pasture_25m,%crop_25m,%urban_25m,%forest_50m,%pasture_50m,%crop_50m,%urban_50m,%forest_75m,%pasture_75m,%crop_75m,%urban_75m,%forest_100m,%pasture_100m,%crop_100m,%urban_100m,%forest_125m,%pasture_125m,%crop_125m,%urban_125m,%forest_150m,%pasture_150m,%crop_150m,%urban_150m,%forest_175m,%pasture_175m,%crop_175m,%urban_175m,%forest_200m,%pasture_200m,%crop_200m,%urban_200m,%forest_225m,%pasture_225m,%crop_225m,%urban_225m,%forest_250m,%pasture_250m,%crop_250m,%urban_250m,%forest_275m,%pasture_275m,%crop_275m,%urban_275m,%forest_300m,%pasture_300m,%crop_300m,%urban_300m,%forest_325m,%pasture_325m,%crop_325m,%urban_325m,%forest_350m,%pasture_350m,%crop_350m,%urban_350m,%forest_375m,%pasture_375m,%crop_375m,%urban_375m,%forest_400m,%pasture_400m,%crop_400m,%urban_400m
Cosecha,Triada_Leg_Hoj,EveliaTres,693058.8,2141951.2,3,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,574.1130022,0,1005.461638,374.2046432,1734.990302,200,3645.919088,2253.368997,2482.184427,199.9999973,8228.479239,6731.70631,2827.113273,389.1641989,13988.2408,14174.22399,3499.642417,798.8932798,21218.44875,23524.62154,4474.069009,1002.807805,31477.00108,33679.1005,5429.311248,1442.508247,46721.04025,42556.91641,6491.544681,2210.432824,67677.49339,49216.82173,7094.923048,4851.973537,91718.27394,55304.14587,8755.678793,8429.886172,118130.9247,60953.91244,12917.94756,12043.15388,147254.6037,65281.90326,21131.37336,17842.23157,174018.8724,69660.21429,36188.23134,23108.33161,197988.0281,74451.07007,56913.13698,28357.37739,220471.857,79004.14529,81290.06805,34724.26613,242161.2004,83509.71605,110856.2002,40576.45725,265809.4942,85307.36729
Cosecha,Triada_Leg_Hoj,T.AliciaTres,692829.9,2142014.8,39,5,4,0,0,0,0,0,0,0,22,7,0,1,5,0,92.6766676,148.0219594,1712.328675,0.747714836,100,700,6126.072126,908.1889362,699.4729749,804.5581872,11834.07298,4304.227298,1844.16108,1380.421391,19907.14189,8246.952598,4591.831729,3440.329325,27531.83442,13477.50339,10389.0581,5892.14266,34225.30746,20126.31682,15245.6999,8292.01293,42099.13031,29617.2393,22316.24143,9196.870977,54578.07477,39504.83118,31818.49949,11333.23808,65639.35376,50177.8779,44506.8769,14604.23102,79138.52909,58020.33663,59004.85431,18198.89945,98036.40595,62256.93016,72529.11743,22521.92516,121555.5639,66045.46783,84337.20682,28873.51061,146241.4859,72282.7335,94141.76852,34591.1265,174858.809,81153.9764,102604.5934,38441.84835,207109.8234,93528.02161,111350.8608,43345.74216,240700.0246,107151.794
Desarrollo y floración ,Triada,CarmenUno,692863.3,2141923.2,10,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0.407244912,594.2637316,475.500561,883.6041016,215.8954622,1377.365276,1583.964139,4657.040823,1098.960929,2237.0725,4493.667326,9812.63631,1311.914816,4966.881779,10335.21937,14764.67548,1564.267115,7386.398577,19692.74028,20398.10855,2170.946171,9451.865126,30720.0148,28290.02633,4256.135464,11737.97175,47416.76143,32738.72822,8072.017516,13997.08707,66847.87188,36679.08186,12001.71558,17078.89112,86628.59549,43259.81764,17455.79166,20936.84083,106287.3226,51590.08104,26853.78789,25155.27699,125145.455,60342.6456,40260.62407,27930.50674,145972.8625,68488.17115,55237.43367,30100.13171,169226.632,77170.84504,68733.64379,32199.79277,195111.8668,88700.49834,81535.33873,36259.94339,222302.0096,101587.1357,97675.2487,42045.28338,250701.6537,112126.3956
Desarrollo y floración ,Triada,MercedUno,692964.6,2142280.4,19,3,0,0,0,0,0,0,0,0,7,11,0,0,1,0,34.13809817,0,1919.639428,0,1110.427575,0,6723.843315,0,3390.963412,0,13875.84373,375.5469637,8580.404934,710.1940583,19997.75804,2090.362925,14606.93544,1201.309627,28214.69418,5018.622656,25725.38754,1303.559909,34629.42619,8974.5457,41681.81016,1569.190037,39918.31197,12980.37762,62201.8456,2345.933249,44937.75011,16110.65082,81447.87281,4517.782949,53279.22329,19724.29445,98060.61678,8140.936259,63962.68958,26105.98308,110995.906,11256.82205,83181.01901,32063.64788,123237.4085,14268.47723,106113.1451,39033.40687,138104.037,18827.39842,125642.8832,49161.04435,158915.2624,24374.79174,143459.9092,57996.20752,175691.878,30432.26026,163488.9593,66979.35747,201625.8815,38584.38758,187317.7364,75021.06152
Desarrollo y floración ,Triada,RosaMRUno,692857.4,2142285.5,41,4,0,0,0,0,0,0,0,0,17,17,0,2,5,0,591.519714,105.8089538,1151.039486,105.4073745,4158.719363,239.5210266,2993.318559,442.7043246,9036.428946,276.6060283,6506.736372,1822.564719,15132.86713,589.468259,12682.46138,2973.891321,24027.80982,639.5210267,19564.45682,4809.72408,38912.38266,803.0958835,24626.69481,6290.669781,53834.55792,805.5287922,33595.43017,7914.074558,67460.81236,1165.03215,46413.25301,10556.95378,82681.47279,1598.132168,61142.7404,13546.66562,98933.74804,2227.575975,76995.98139,18112.71969,113264.2739,3416.836203,95512.90058,25303.14143,128432.1895,7771.513318,114162.084,32286.36179,143685.6013,13606.77268,134145.9261,40296.72365,160713.0422,21131.97578,152325.0606,50575.69865,179319.7748,27051.63507,175876.3937,59436.59904,198522.007,35245.78223,200392.5376,68388.22641
Desarrollo y floración ,Triada_Leg,EmmaUno,692989.3,2141929.8,13,4,0,0,1,0,0,0,0,0,2,8,0,0,2,0,221.6924724,78.69725222,1104.92787,548.460393,1254.459582,200,3008.283171,3371.530648,2141.215602,294.1477789,6719.415084,8487.579803,2253.000668,368.4657167,12699.74356,16057.51858,2353.111083,589.1809564,22156.53811,23942.74329,3352.752412,1647.132336,33995.5325,31637.5167,4592.232074,2663.464077,47728.32232,41165.69393,7110.34187,4230.485866,64630.42854,49624.95301,9049.336176,7411.869232,85356.83955,57151.16596,10320.99653,10831.89134,111394.2047,63723.17947,12570.29079,14324.73286,142339.0673,68263.35994,17402.40752,19587.05727,172949.6102,72713.4292,27025.79781,24598.55299,203520.9688,76590.11798,42050.56954,30773.26058,232116.8764,79805.54939,67199.04722,36829.25177,255989.6419,81667.01732,99809.83176,42080.59119,274423.8181,86234.94453
Desarrollo y floración ,Triada_Leg,GudeliaDos,693050,2141934.2,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,523.8554237,93.44782764,1278.846713,57.62915469,1909.831632,197.9751781,4741.011673,985.4610811,2227.624913,199.9999973,10736.47358,4478.270001,2811.24032,300.0000012,16811.97802,11455.52197,2896.113133,561.8329999,23850.14563,21733.51048,3926.478778,897.3506952,32988.78697,32820.36141,5119.092213,1269.430885,48070.05223,41691.19275,6300.220644,2245.093139,69031.88406,48019.0842,7057.151537,4369.775818,92492.63786,55049.7378,8900.64365,7681.841531,117893.6101,61794.29041,12240.4528,11736.13942,148601.291,64919.7052,19205.62707,18427.05721,174737.8635,70282.12017,32937.33127,24044.50973,199984.6806,74769.11171,53131.80735,28002.60573,224725.4779,78886.59344,79016.30788,34610.1105,245857.9284,82200.87198,106405.7277,41964.27476,268564.2526,85615.2217
Desarrollo y floración ,Triada_Leg,JosefaDos,692888.4,2142144,23,3,0,0,0,0,0,0,0,0,11,11,0,0,1,0,1865.715345,0,1399.367273,75.11228949,1968.843302,200,4085.0291,1580.394126,3299.297539,374.7650995,8547.41436,5153.221189,7072.563066,464.6812802,15060.12788,8781.325727,11671.31733,657.3177334,23058.0233,13654.86787,18331.90356,856.8049498,32768.84737,18675.3119,27079.59882,1701.647188,41230.2477,26138.12619,36830.09562,2297.122865,50369.04636,36099.82357,48245.43181,2957.836219,63583.07263,44182.71731,62463.41702,4352.252841,79256.22959,50198.18369,79644.49448,7566.070485,94686.24127,55600.41617,97619.53921,12301.56073,113363.9898,59367.14244,115159.169,16030.45906,137612.3127,62933.18112,130610.2223,19609.12965,164382.6693,70143.87005,144894.6275,25324.32043,193629.4727,77836.11247,159937.3178,34155.37235,224183.2521,84272.75944
Desarrollo y floración ,Triada_Leg,MargaritaDos,693348.2,2141637.2,26,3,0,0,0,0,0,0,0,0,11,6,0,0,9,0,0,671.7459671,947.2875935,334.7511248,761.8768143,2441.18873,3081.906696,1549.326542,4657.623668,4894.436398,5869.020779,2221.337906,10717.61653,8417.208692,9869.970068,2374.039119,19309.90105,11280.607,15342.8386,3108.394934,32050.053,12807.70921,21686.01835,4089.399,49673.64945,14554.58976,27321.94362,4599.85922,68084.00418,15993.20708,35307.83122,6211.597403,85982.37313,18040.9056,46943.26993,8003.207247,103925.3464,20156.79344,59819.61636,12369.18868,125031.5516,23563.04287,72890.03474,16013.63597,144687.3125,27804.84155,90054.65762,20106.66142,166507.1072,32557.44961,109173.7104,23498.31131,191541.5179,36741.62688,128977.4168,27487.01895,216492.576,40127.75066,154109.0428,30957.10305,241090.1304,42669.93373,184369.5727,34421.27141
Desarrollo y floración ,Triada_Leg,RosaRCDos,693318.8,2141818,38,3,2,0,0,0,0,0,0,0,27,9,0,0,0,0,0,376.7711534,1577.012983,0,68.46571554,925.4930762,6641.980139,198.3601202,188.3887285,2295.117491,14528.88124,630.0263271,1585.652699,3313.074948,24937.21794,1542.879481,3783.764445,5251.917,37577.62801,2428.41833,8528.495671,6585.93397,51573.00365,3945.725475,18870.67907,7599.379039,62275.92985,7404.027039,32721.23736,9933.592355,72138.82145,10802.95341,49342.71868,13432.77206,82337.77793,13858.74581,66646.89009,18674.8509,94375.28496,16573.8637,84293.04584,23150.7102,109206.0305,20848.41182,103776.4475,27372.50075,124790.1202,26714.32522,124449.8783,33535.68336,141259.5692,32491.35599,147776.7114,37823.21978,160791.3893,38356.1518,170712.1223,42378.55075,180867.1758,47728.4994,195606.9634,46619.34463,198723.8359,61600.62297
Desarrollo y floración ,Triada_Leg_Hoj,E.TlapaTres,693155.6,2141882.7,21,3,0,0,0,0,0,0,0,0,7,9,0,0,5,0,0,0,1301.790751,651.9903381,56.58476241,0,5852.723674,1924.976551,535.5210145,232.5045645,5240.316718,4138.236466,678.8059045,568.8690072,23282.06401,6849.036405,910.1370447,1275.402125,36703.94325,10152.16854,2884.406277,2255.670702,50703.83436,14789.13096,5261.340997,2927.752624,68820.86743,19139.90401,7808.434542,5580.306399,87587.1916,24620.47615,11491.37875,8622.643087,106268.5231,32586.91836,21352.65436,10113.4953,124501.1675,40303.2664,36072.69371,11954.10417,140607.5911,48863.43901,51708.76661,13516.98672,159909.9281,57517.27149,64395.02313,18715.47226,182893.6693,65731.80315,82965.47037,23994.3321,204137.3764,73649.69332,104455.6521,35281.32719,223815.8646,78132.81551,127126.8147,47599.37425,244676.4958,83147.29862
Desarrollo y floración ,Triada_Leg_Hoj,EsperanzaTres,692898.3,2141976.8,25,4,0,0,0,0,0,0,0,0,6,16,0,1,2,0,55.27603016,6.444474494,179.732194,1712.323592,99.84666949,168.4657155,2585.389596,4980.566084,450.2843621,621.9128604,5240.316718,11329.82902,571.6601454,2028.143665,10376.30385,18402.59209,2459.640577,2843.366224,19644.55797,24093.96612,6177.625238,4845.812519,29711.25387,29898.18405,8432.601154,7602.079302,42211.38546,37903.56299,10785.87481,9628.880513,55998.77079,49182.5741,14658.58184,11422.64967,75404.11402,57483.72742,21429.18016,13724.58164,98823.31891,62293.02087,30051.45399,16380.43497,124952.6211,66112.73477,41162.89085,20976.44486,149414.2983,71098.62479,56111.18687,26073.30283,174961.4284,74589.23499,73271.08952,31301.63873,201760.5995,78412.59974,90002.23923,36693.06569,230586.2361,84403.03384,107368.5218,42016.79928,257066.3537,96097.07458
Desarrollo y floración ,Triada_Leg_Hoj,EveliaTres,693058.8,2141951.2,14,4,0,0,0,0,0,0,0,0,8,2,1,0,3,0,574.1130022,0,1005.461638,374.2046432,1734.990302,200,3645.919088,2253.368997,2482.184427,199.9999973,8228.479239,6731.70631,2827.113273,389.1641989,13988.2408,14174.22399,3499.642417,798.8932798,21218.44875,23524.62154,4474.069009,1002.807805,31477.00108,33679.1005,5429.311248,1442.508247,46721.04025,42556.91641,6491.544681,2210.432824,67677.49339,49216.82173,7094.923048,4851.973537,91718.27394,55304.14587,8755.678793,8429.886172,118130.9247,60953.91244,12917.94756,12043.15388,147254.6037,65281.90326,21131.37336,17842.23157,174018.8724,69660.21429,36188.23134,23108.33161,197988.0281,74451.07007,56913.13698,28357.37739,220471.857,79004.14529,81290.06805,34724.26613,242161.2004,83509.71605,110856.2002,40576.45725,265809.4942,85307.36729
Desarrollo y floración ,Triada_Leg_Hoj,T.AliciaTres,692829.9,2142014.8,30,4,1,0,0,0,0,0,0,0,9,17,0,0,3,0,92.6766676,148.0219594,1712.328675,0.747714836,100,700,6126.072126,908.1889362,699.4729749,804.5581872,11834.07298,4304.227298,1844.16108,1380.421391,19907.14189,8246.952598,4591.831729,3440.329325,27531.83442,13477.50339,10389.0581,5892.14266,34225.30746,20126.31682,15245.6999,8292.01293,42099.13031,29617.2393,22316.24143,9196.870977,54578.07477,39504.83118,31818.49949,11333.23808,65639.35376,50177.8779,44506.8769,14604.23102,79138.52909,58020.33663,59004.85431,18198.89945,98036.40595,62256.93016,72529.11743,22521.92516,121555.5639,66045.46783,84337.20682,28873.51061,146241.4859,72282.7335,94141.76852,34591.1265,174858.809,81153.9764,102604.5934,38441.84835,207109.8234,93528.02161,111350.8608,43345.74216,240700.0246,107151.794
Invierno,Triada,CarmenUno,692863.3,2141923.2,13,2,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0.407244912,594.2637316,475.500561,883.6041016,215.8954622,1377.365276,1583.964139,4657.040823,1098.960929,2237.0725,4493.667326,9812.63631,1311.914816,4966.881779,10335.21937,14764.67548,1564.267115,7386.398577,19692.74028,20398.10855,2170.946171,9451.865126,30720.0148,28290.02633,4256.135464,11737.97175,47416.76143,32738.72822,8072.017516,13997.08707,66847.87188,36679.08186,12001.71558,17078.89112,86628.59549,43259.81764,17455.79166,20936.84083,106287.3226,51590.08104,26853.78789,25155.27699,125145.455,60342.6456,40260.62407,27930.50674,145972.8625,68488.17115,55237.43367,30100.13171,169226.632,77170.84504,68733.64379,32199.79277,195111.8668,88700.49834,81535.33873,36259.94339,222302.0096,101587.1357,97675.2487,42045.28338,250701.6537,112126.3956
Invierno,Triada,MercedUno,692964.6,2142280.4,51,3,6,0,0,0,0,0,0,0,40,0,0,0,5,0,34.13809817,0,1919.639428,0,1110.427575,0,6723.843315,0,3390.963412,0,13875.84373,375.5469637,8580.404934,710.1940583,19997.75804,2090.362925,14606.93544,1201.309627,28214.69418,5018.622656,25725.38754,1303.559909,34629.42619,8974.5457,41681.81016,1569.190037,39918.31197,12980.37762,62201.8456,2345.933249,44937.75011,16110.65082,81447.87281,4517.782949,53279.22329,19724.29445,98060.61678,8140.936259,63962.68958,26105.98308,110995.906,11256.82205,83181.01901,32063.64788,123237.4085,14268.47723,106113.1451,39033.40687,138104.037,18827.39842,125642.8832,49161.04435,158915.2624,24374.79174,143459.9092,57996.20752,175691.878,30432.26026,163488.9593,66979.35747,201625.8815,38584.38758,187317.7364,75021.06152
Invierno,Triada,RosaMRUno,692857.4,2142285.5,50,4,7,1,0,0,0,0,0,0,39,0,0,0,3,0,591.519714,105.8089538,1151.039486,105.4073745,4158.719363,239.5210266,2993.318559,442.7043246,9036.428946,276.6060283,6506.736372,1822.564719,15132.86713,589.468259,12682.46138,2973.891321,24027.80982,639.5210267,19564.45682,4809.72408,38912.38266,803.0958835,24626.69481,6290.669781,53834.55792,805.5287922,33595.43017,7914.074558,67460.81236,1165.03215,46413.25301,10556.95378,82681.47279,1598.132168,61142.7404,13546.66562,98933.74804,2227.575975,76995.98139,18112.71969,113264.2739,3416.836203,95512.90058,25303.14143,128432.1895,7771.513318,114162.084,32286.36179,143685.6013,13606.77268,134145.9261,40296.72365,160713.0422,21131.97578,152325.0606,50575.69865,179319.7748,27051.63507,175876.3937,59436.59904,198522.007,35245.78223,200392.5376,68388.22641
Invierno,Triada_Leg,EmmaUno,692989.3,2141929.8,14,3,4,0,0,0,0,0,0,0,7,0,0,0,3,0,221.6924724,78.69725222,1104.92787,548.460393,1254.459582,200,3008.283171,3371.530648,2141.215602,294.1477789,6719.415084,8487.579803,2253.000668,368.4657167,12699.74356,16057.51858,2353.111083,589.1809564,22156.53811,23942.74329,3352.752412,1647.132336,33995.5325,31637.5167,4592.232074,2663.464077,47728.32232,41165.69393,7110.34187,4230.485866,64630.42854,49624.95301,9049.336176,7411.869232,85356.83955,57151.16596,10320.99653,10831.89134,111394.2047,63723.17947,12570.29079,14324.73286,142339.0673,68263.35994,17402.40752,19587.05727,172949.6102,72713.4292,27025.79781,24598.55299,203520.9688,76590.11798,42050.56954,30773.26058,232116.8764,79805.54939,67199.04722,36829.25177,255989.6419,81667.01732,99809.83176,42080.59119,274423.8181,86234.94453
